number of process           timeExecution      timeArrival      timeEnd
P0                     23                         1              24
P1                     23                         25              48
P2                     17                         42              65
P4                     15                         54              80
P3                     19                         46              99
P5                     19                         72              118
P6                     19                         126              145
P9                     19                         148              164
P7                     18                         127              182
P10                     19                         157              201
P8                     23                         146              224
P13                     17                         226              241
P12                     19                         212              260
P14                     21                         228              281
P15                     19                         262              300
P18                     18                         289              318
P20                     18                         291              336
P25                     17                         331              353
P19                     19                         290              372
P27                     16                         359              388
P29                     17                         367              405
P28                     18                         364              423
P31                     15                         418              438
P30                     18                         413              456
P33                     18                         457              474
P34                     15                         471              489
P23                     18                         325              507
P38                     17                         498              524
P41                     15                         521              539
P24                     19                         325              558
P32                     19                         452              577
P36                     19                         485              596
P45                     17                         584              613
P46                     18                         616              631
P48                     15                         627              646
P43                     16                         539              662
P51                     16                         653              678
P47                     17                         624              695
P49                     17                         641              712
P50                     18                         644              730
P22                     20                         318              750
P44                     20                         572              770
P54                     16                         764              786
P16                     21                         284              807
P56                     19                         790              826
P57                     17                         814              843
P60                     17                         837              860
P59                     19                         837              879
P62                     18                         869              897
P58                     20                         826              917
P63                     18                         904              935
P64                     19                         904              954
P65                     20                         907              974
P70                     16                         966              990
P69                     18                         965              1008
P73                     16                         994              1024
P75                     17                         1003              1041
P21                     21                         312              1062
P76                     15                         1051              1077
P35                     21                         481              1098
P77                     19                         1095              1117
P37                     21                         489              1138
P79                     16                         1130              1154
P81                     16                         1151              1170
P80                     17                         1145              1187
P40                     21                         520              1208
P84                     16                         1208              1224
P86                     15                         1221              1239
P85                     18                         1217              1257
P88                     15                         1248              1272
P53                     21                         684              1293
P67                     21                         922              1314
P68                     21                         952              1335
P72                     21                         986              1356
P90                     19                         1351              1375
P91                     20                         1359              1395
P92                     20                         1382              1415
P17                     22                         287              1437
P93                     15                         1431              1452
P94                     15                         1432              1467
P95                     21                         1445              1488
P96                     19                         1477              1507
P99                     17                         1497              1524
P98                     20                         1490              1544
P39                     22                         498              1566
P42                     22                         524              1588
P66                     22                         911              1610
P71                     22                         968              1632
P74                     22                         995              1654
P78                     22                         1101              1676
P83                     22                         1179              1698
P87                     22                         1246              1720
P11                     23                         201              1743
P26                     23                         346              1766
P52                     23                         676              1789
P55                     23                         789              1812
P61                     23                         849              1835
P82                     23                         1171              1858
P89                     23                         1345              1881
P97                     23                         1484              1904
